Areaname,STCOU,EAN010201F,EAN010201D,EAN010201N1,EAN010201N2,EAN010202F,EAN010202D,EAN010202N1,EAN010202N2,EAN010203F,EAN010203D,EAN010203N1,EAN010203N2,EAN010204F,EAN010204D,EAN010204N1,EAN010204N2,EAN010205F,EAN010205D,EAN010205N1,EAN010205N2,EAN010206F,EAN010206D,EAN010206N1,EAN010206N2,EAN010207F,EAN010207D,EAN010207N1,EAN010207N2,EAN012204F,EAN012204D,EAN012204N1,EAN012204N2,EAN012205F,EAN012205D,EAN012205N1,EAN012205N2,EAN012206F,EAN012206D,EAN012206N1,EAN012206N2,EAN012207F,EAN012207D,EAN012207N1,EAN012207N2
"Otero, CO",08089,0,254688,0000,0000,0,245210,0000,0000,0,255097,0000,0000,0,262899,0000,0000,0,272234,0000,0000,0,267562,0000,0000,0,270600,0000,0000,0,25769,0000,0000,0,26911,0000,0000,0,27046,0000,0000,0,27805,0000,0000
"Ouray, CO",08091,0,52856,0000,0000,0,58366,0000,0000,0,64855,0000,0000,0,70046,0000,0000,0,75547,0000,0000,0,83295,0000,0000,0,83138,0000,0000,0,24595,0000,0000,0,24786,0000,0000,0,26393,0000,0000,0,25293,0000,0000
"Park, CO",08093,0,94535,0000,0000,0,97674,0000,0000,0,98490,0000,0000,0,108341,0000,0000,0,119212,0000,0000,0,127135,0000,0000,0,128332,0000,0000,0,18491,0000,0000,0,19614,0000,0000,0,20516,0000,0000,0,20149,0000,0000
"Phillips, CO",08095,0,77658,0000,0000,0,63519,0000,0000,0,69306,0000,0000,0,66672,0000,0000,0,70356,0000,0000,0,60788,0000,0000,0,82805,0000,0000,0,23385,0000,0000,0,24286,0000,0000,0,21114,0000,0000,0,29034,0000,0000
"Pitkin, CO",08097,0,889015,0000,0000,0,859772,0000,0000,0,883560,0000,0000,0,945352,0000,0000,0,1031281,0000,0000,0,1094612,0000,0000,0,1150269,0000,0000,0,43357,0000,0000,0,45955,0000,0000,0,47499,0000,0000,0,49623,0000,0000
"Prowers, CO",08099,0,252649,0000,0000,0,228203,0000,0000,0,243166,0000,0000,0,224671,0000,0000,0,225037,0000,0000,0,221713,0000,0000,0,227341,0000,0000,0,28617,0000,0000,0,29351,0000,0000,0,30285,0000,0000,0,31160,0000,0000
"Pueblo, CO",08101,0,2111090,0000,0000,0,2213950,0000,0000,0,2226831,0000,0000,0,2389117,0000,0000,0,2417071,0000,0000,0,2520934,0000,0000,0,2697661,0000,0000,0,33295,0000,0000,0,33209,0000,0000,0,33968,0000,0000,0,35470,0000,0000
"Rio Blanco, CO",08103,0,126327,0000,0000,0,131935,0000,0000,0,137939,0000,0000,0,157827,0000,0000,0,184792,0000,0000,0,216809,0000,0000,0,302438,0000,0000,0,36332,0000,0000,0,39452,0000,0000,0,43009,0000,0000,0,52708,0000,0000
"Rio Grande, CO",08105,0,190787,0000,0000,0,221395,0000,0000,0,217792,0000,0000,0,205792,0000,0000,0,211503,0000,0000,0,224215,0000,0000,0,228039,0000,0000,0,25883,0000,0000,0,27057,0000,0000,0,28687,0000,0000,0,29455,0000,0000
"Routt, CO",08107,0,577876,0000,0000,0,646580,0000,0000,0,646097,0000,0000,0,689175,0000,0000,0,760826,0000,0000,0,808105,0000,0000,0,881341,0000,0000,0,34107,0000,0000,0,35961,0000,0000,0,37171,0000,0000,0,38530,0000,0000
"Saguache, CO",08109,0,54011,0000,0000,0,69148,0000,0000,0,60993,0000,0000,0,62415,0000,0000,0,66699,0000,0000,0,68120,0000,0000,0,71606,0000,0000,0,22573,0000,0000,0,23694,0000,0000,0,23843,0000,0000,0,25002,0000,0000
"San Juan, CO",08111,0,8311,0000,0000,0,9043,0000,0000,0,9547,0000,0000,0,8595,0000,0000,0,9707,0000,0000,0,10269,0000,0000,0,11420,0000,0000,0,15376,0000,0000,0,17334,0000,0000,0,18079,0000,0000,0,19422,0000,0000
"San Miguel, CO",08113,0,203012,0000,0000,0,204280,0000,0000,0,197051,0000,0000,0,217325,0000,0000,0,253784,0000,0000,0,279297,0000,0000,0,301697,0000,0000,0,27999,0000,0000,0,31033,0000,0000,0,33341,0000,0000,0,34782,0000,0000
"Sedgwick, CO",08115,0,34690,0000,0000,0,33123,0000,0000,0,34614,0000,0000,0,34431,0000,0000,0,36327,0000,0000,0,34049,0000,0000,0,46985,0000,0000,0,20170,0000,0000,0,21035,0000,0000,0,19727,0000,0000,0,25508,0000,0000
"Summit, CO",08117,0,707445,0000,0000,0,707259,0000,0000,0,697600,0000,0000,0,730778,0000,0000,0,771254,0000,0000,0,849626,0000,0000,0,892644,0000,0000,0,29663,0000,0000,0,30827,0000,0000,0,32503,0000,0000,0,33253,0000,0000
"Teller, CO",08119,0,248536,0000,0000,0,258158,0000,0000,0,262284,0000,0000,0,278270,0000,0000,0,297068,0000,0000,0,313427,0000,0000,0,327108,0000,0000,0,26279,0000,0000,0,27249,0000,0000,0,28055,0000,0000,0,28820,0000,0000
"Washington, CO",08121,0,61967,0000,0000,0,51715,0000,0000,0,65415,0000,0000,0,59253,0000,0000,0,63245,0000,0000,0,60538,0000,0000,0,72478,0000,0000,0,20209,0000,0000,0,21345,0000,0000,0,20411,0000,0000,0,24611,0000,0000
"Weld, CO",08123,0,3408918,0000,0000,0,3563539,0000,0000,0,3610550,0000,0000,0,3844503,0000,0000,0,4091531,0000,0000,0,4385248,0000,0000,0,4641344,0000,0000,0,35716,0000,0000,0,36953,0000,0000,0,38150,0000,0000,0,39341,0000,0000
"Yuma, CO",08125,0,180081,0000,0000,0,149938,0000,0000,0,179160,0000,0000,0,205064,0000,0000,0,206360,0000,0000,0,210280,0000,0000,0,246336,0000,0000,0,32478,0000,0000,0,32183,0000,0000,0,32202,0000,0000,0,37183,0000,0000
CONNECTICUT,09000,0,110533837,0000,0000,0,112539831,0000,0000,0,114929228,0000,0000,0,122572938,0000,0000,0,128164600,0000,0000,0,134209128,0000,0000,0,141105391,0000,0000,0,56923,0000,0000,0,58513,0000,0000,0,60712,0000,0000,0,63127,0000,0000
"Fairfield, CT",09001,0,40503867,0000,0000,0,40329960,0000,0000,0,41148565,0000,0000,0,43643051,0000,0000,0,45841254,0000,0000,0,48810450,0000,0000,0,51781492,0000,0000,0,74714,0000,0000,0,77102,0000,0000,0,81162,0000,0000,0,84548,0000,0000
